"count_american_indian","count_asian_non_hispanic","count_black_non_hispanic","count_citizen_status_total","count_citizen_status_unknown","count_ethnicity_total","count_ethnicity_unknown","count_female","count_gender_total","count_gender_unknown","count_hispanic_latino","count_male","count_nreceives_public_assistance","count_other_citizen_status","count_other_ethnicity","count_pacific_islander","count_participants","count_permanent_resident_alien","count_public_assistance_total","count_public_assistance_unknown","count_receives_public_assistance","count_us_citizen","count_white_non_hispanic","jurisdiction_name","percent_american_indian","percent_asian_non_hispanic","percent_black_non_hispanic","percent_citizen_status_total","percent_citizen_status_unknown","percent_ethnicity_total","percent_ethnicity_unknown","percent_female","percent_gender_total","percent_gender_unknown","percent_hispanic_latino","percent_male","percent_nreceives_public_assistance","percent_other_citizen_status","percent_other_ethnicity","percent_pacific_islander","percent_permanent_resident_alien","percent_public_assistance_total","percent_public_assistance_unknown","percent_receives_public_assistance","percent_us_citizen","percent_white_non_hispanic"
"0","0","11","27","0","27","0","17","27","0","15","10","19","0","1","0","27","3","27","0","8","24","0","10025","0","0","0.41","100","0","100","0","0.63","100","0","0.56","0.37","0.7","0","0.04","0","0.11","100","0","0.3","0.89","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","4","7","0","7","0","4","7","0","1","3","6","0","1","0","7","1","7","0","1","6","0","10027","0","0.14","0.57","100","0","99","0","0.57","100","0","0.14","0.43","0.86","0","0.14","0","0.14","100","0","0.14","0.86","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","15","20","0","20","0","13","20","0","4","7","12","0","1","0","20","0","20","0","8","20","0","10029","0","0","0.75","100","0","100","0","0.65","100","0","0.2","0.35","0.6","0","0.05","0","0","100","0","0.4","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10030","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10031","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","2","13","0","13","0","4","13","0","9","9","8","0","1","0","13","1","13","0","5","12","0","10032","0","0.08","0.15","100","0","100","0","0.31","100","0","0.69","0.69","0.62","0","0.08","0","0.08","100","0","0.38","0.92","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10033","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10034","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","1","2","0","2","0","2","2","0","0","0","0","0","0","0","2","0","2","0","2","2","0","10036","0","0.5","0.5","100","0","100","0","1","100","0","0","0","0","0","0","0","0","100","0","1","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","9","5","16","0","16","0","11","16","0","2","5","13","0","0","0","16","1","16","0","3","15","0","10038","0","0.56","0.31","100","0","100","0","0.69","100","0","0.13","0.31","0.81","0","0","0","0.06","100","0","0.19","0.94","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","1","5","0","5","0","4","5","0","3","1","3","0","0","0","5","0","5","0","2","5","0","10040","0","0.2","0.2","100","0","100","0","0.8","100","0","0.6","0.2","0.6","0","0","0","0","100","0","0.4","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10044","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10278","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10303","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10305","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","1","0","1","0","1","0","0","1","0","0","1","1","0","0","0","1","0","1","0","0","1","0","10306","0","1","0","100","0","100","0","0","100","0","0","1","1","0","0","0","0","100","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
